



📢使用公告,#genre#
更新日期,https://i.uik.cc/view.php/8caad869728113dfca6f8f1e99d54379.mp4
2026/05/20 13:50:56,https://i.uik.cc/view.php/8caad869728113dfca6f8f1e99d54379.mp4
浏览器扫码下载,https://gh-proxy.org/https://github.com/bang359/dsj/raw.mp4
浏览器扫码下载,https://gh-proxy.ttps://github.com/bang359/dsj/raw.mp4
海信电视版本,https://gh-proxy.org/https://github.com/bang359/dsj/raw/main/new1.mp4
安装电视教程,https://cloud.7so.top/f/k8ADs5/anzhuangjiaocheng.mp4
❤️永久维护,https://i.uik.cc/view.php/8caad869728113dfca6f8f1e99d54379.mp4
❤️觉得好用,https://i.uik.cc/view.php/8caad869728113dfca6f8f1e99d54379.mp4
❤️请打赏观看,https://i.uik.cc/view.php/8caad869728113dfca6f8f1e99d54379.mp4
🏆世界杯4K,http://rihou.cc:555/tv/世界杯
🌀台风-动向,http://cfss.cc/cdn/dy/hubeifabu.flv
九屏直播,http://183.184.144.219:8004/rtp/226.0.2.197:9488$山西太原联通
九屏直播,http://121.29.69.105:9999/rtp/239.253.92.203:6150$河北石家庄联通
中国天气,http://221.7.49.226:50085/tsfile/live/0018_8.m3u8?key=txiptv&playlive=1&authid=0$酒店线路
中国天气,http://183.184.144.219:8004/rtp/226.0.2.103:8736$山西联通
每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8
澎湃景区,https://play-a2.quklive.com/live/1765245429980053.m3u8
❤️CCTV4K,http://192.151.150.154/live/cctv4k.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
❤️CCTV8K,http://192.151.150.154/live/cctv8k.m3u8
❤️CCTV16-4K,http://121.57.88.206:898/hls/16/index.m3u8
❤️湖南卫视4K,http://rihou.cc:555/tv/湖南卫视4K
❤️江苏卫视4K,http://rihou.cc:555/tv/江苏卫视4K
❤️浙江卫视4K,http://rihou.cc:555/tv/浙江卫视4K
❤️东方卫视4K,http://rihou.cc:555/tv/东方卫视4K
❤️深圳卫视4K,http://rihou.cc:555/tv/szws
❤️北京卫视4K,http://rihou.cc:555/tv/北京卫视4K
❤️广东卫视4K,http://rihou.cc:555/tv/广东卫视4K
❤️四川卫视4K,http://rihou.cc:555/tv/四川卫视4K
❤️山东卫视4K,http://rihou.cc:555/tv/山东卫视
❤️河南卫视4K,http://rihou.cc:555/tv/河南卫视4K
❤️南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
❤️欢笑剧场4K
❤️凤凰卫视,http://rihou.cc:555/tv/凤凰卫视
❤️峨眉电影4K
❤️北京IPTV4K
淘电影,http://36.110.54.118:866/hls/21/index.m3u8
淘娱乐
淘剧场,http://36.110.54.118:866/hls/20/index.m3u8
淘Baby
淘萌宠
都市剧场
经典电影,http://222.214.208.34:59901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
华语影院,http://222.214.208.34:59901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://rihou.cc:555/tv/CHC动作电影
CHC影迷电影,http://rihou.cc:555/tv/CHC影迷电影
CHC家庭影院,http://rihou.cc:555/tv/CHC家庭影院
短剧轮播,http://rihou.cc:555/tv/短剧
电影轮播,http://rihou.cc:555/tv/电影轮播
至臻4K,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=m
经典鬼片3000部 https://yylunbo.ottiptv.cc/yy/29460894
 🎵点歌台,http://cfss.cc/cdn/du/85894.flv
 🎵周杰伦MV,http://cfss.cc/cdn/du/122402.flv
